Incident Type,Incident year,Reported Month,Region of Origin,Region of Incident,Country of Origin,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Migration route,Location of death,Information Source,UNSD Geographical Grouping
Incident,2021,April,Central America,North America,Guatemala,1,0,1,0,1,0,0,Sickness / lack of access to adequate healthcare,US-Mexico border crossing,"Next to a roadway just outside of Odessa, Crane County, Texas, United States of America","US Department of Justice, Border Report, Your Basin News, KSAT12",Northern America
Incident,2021,April,Southern Asia,Europe,Afghanistan,1,0,1,0,0,1,0,Drowning,Western Balkans,"Una River near Gradska Otoke, Bihać, Bosnia and Herzegovina",Hayat.ba,Southern Europe
Incident,2021,June,Southern Asia,Europe,Bangladesh,1,0,1,0,0,1,0,Drowning,Western Balkans,"Una River, near Bihać, Bosnia and Herzegovina",Klix.ba,Southern Europe
Incident,2021,August,Unknown,Northern Africa,Unknown,1,0,1,0,0,1,0,Violence,Sahara Desert crossing,"El Jadida, Sabha, Libya",IOM Libya Displacement Tracking Matrix,Northern Africa
Incident,2021,August,Northern Africa,Northern Africa,Sudan,1,0,1,0,0,1,0,Violence,Sahara Desert crossing,"Mahdia, Sabha, Libya",IOM Libya Displacement Tracking Matrix,Northern Africa
Incident,2021,August,Western Africa,Northern Africa,Niger,1,0,1,0,0,1,0,Violence,Sahara Desert crossing,"Died in Sabha medical center, shot in Murzuq, m El Araneb, Murzuq district, Libya",IOM Libya Displacement Tracking Matrix,Northern Africa
Incident,2021,August,Northern Africa,Northern Africa,Egypt,1,0,1,0,0,1,0,Violence,Sahara Desert crossing,"Mahdia, Sabha, Libya",IOM Libya Displacement Tracking Matrix,Northern Africa
Incident,2021,September,Unknown,Northern Africa,Unknown,1,0,1,1,0,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"On route from Al Jawf to Buzaymah, Kufra district, Libya",IOM Libya Displacement Tracking Matrix,Northern Africa
Incident,2021,October,Northern Africa,Northern Africa,Sudan,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"On coastal road, Al Mahjub, Misrata",IOM Libya Displacement Tracking Matrix,Northern Africa
Incident,2021,November,Middle Africa,Northern Africa,Chad,1,0,1,0,0,0,1,Violence,Sahara Desert crossing,"Murzuq, Om El Araneb, Murzuq district, Libya",IOM Libya Displacement Tracking Matrix,Northern Africa
Incident,2021,November,Northern Africa,Northern Africa,Sudan,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Al Jawf, Kufra, Libya",IOM Libya Displacement Tracking Matrix,Northern Africa
Incident,2021,November,Northern Africa,Northern Africa,Sudan,1,0,1,1,0,1,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"Al Jawf, Kufra, Libya",IOM Libya Displacement Tracking Matrix,Northern Africa
Incident,2021,November,Sub-Saharan Africa,Northern Africa,Unknown,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"Brak, Wadi Al shatii, Libya",IOM Libya Displacement Tracking Matrix,Northern Africa
Incident,2021,October,Southern Asia,Southern Asia,Afghanistan,1,0,1,0,0,1,0,Violence,,"Kalatak village, Kohistanat district, Sarepul province, Afghanistan",IOM Afghanistan,Southern Asia
Incident,2021,November,Southern Asia,Southern Asia,Afghanistan,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,,"Sofak village, Kohistanat district, Sarepul province, Afghanistan",IOM Afghanistan,Southern Asia
Incident,2021,December,Southern Asia,Southern Asia,Afghanistan,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"Markaz village, Chahab district, Takhar province, Afghanistan",IOM Afghanistan,Southern Asia
Incident,2021,December,Southern Asia,Southern Asia,Afghanistan,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"Espigal village, Argo district, Badakhshan province, Afghanistan",IOM Afghanistan,Southern Asia
Incident,2021,December,Southern Asia,Southern Asia,Afghanistan,1,0,1,0,0,1,0,Mixed or unknown,,"Khalyan village, Chahab district, Takhar province, Afghanistan",IOM Afghanistan,Southern Asia
Incident,2021,December,Southern Asia,Southern Asia,Afghanistan,1,0,1,0,0,1,0,Drowning,,"Qala Shahbaz village, Mehtaralam district, Laghman province, Afghanistan",IOM Afghanistan,Southern Asia
Incident,2021,August,Sub-Saharan Africa (P),Northern Africa,Unknown,1,0,1,0,1,0,0,Violence,Sahara Desert crossing,"Al Qatrun, Libya",IOM Niger Displacement Tracking Matrix,Northern Africa
Incident,2021,August,Sub-Saharan Africa (P),Northern Africa,Unknown,1,0,1,0,0,1,0,Violence,Sahara Desert crossing,"Al Qatrun, Libya",IOM Niger Displacement Tracking Matrix,Northern Africa
Incident,2021,November,Sub-Saharan Africa (P),Western Africa,Unknown,3,0,3,0,2,1,0,Vehicle accident / death linked to hazardous transport,,"Gumel, Jigawa, Nigeria",IOM Niger Displacement Tracking Matrix,Western Africa
Incident,2021,December,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,0,Violence,Sahara Desert crossing,"Djado, Niger",IOM Niger Displacement Tracking Matrix,Western Africa
Incident,2021,December,Sub-Saharan Africa (P),Western Africa,Unknown,2,0,2,0,0,0,0,Violence,Sahara Desert crossing,"Al Qatrun, Libya",IOM Niger Displacement Tracking Matrix,Northern Africa
Incident,2021,May,Sub-Saharan Africa (P),Northern Africa,Unknown,2,0,2,0,0,2,0,Violence,Sahara Desert crossing,"Sabha, Libya",IOM Niger Displacement Tracking Matrix,Northern Africa
Incident,2021,July,Sub-Saharan Africa (P),Northern Africa,Unknown,4,0,4,0,1,2,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Kufra, Libya",IOM Niger Displacement Tracking Matrix,Northern Africa
Incident,2021,August,Sub-Saharan Africa (P),Northern Africa,Unknown,1,0,1,0,1,0,0,Violence,Sahara Desert crossing,"Sabha, Libya",IOM Niger Displacement Tracking Matrix,Northern Africa
Incident,2021,October,Sub-Saharan Africa (P),Northern Africa,Unknown,2,0,2,0,0,2,0,Violence,,"Al Bayda, Libya",IOM Niger Displacement Tracking Matrix,Northern Africa
Split Incident,2021,May,Western Africa,Caribbean,Mixed,42,0,42,0,0,42,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Western Africa / Atlantic route to the Canary Islands,"Boat was found drifting a few miles from Belle Garden Beach in Tobago, Trinidad and Tobago","Associated Press, Trinidad Daily Express",Caribbean
Incident,2021,June,Western Africa (P),Caribbean,Mixed,20,0,20,0,0,0,2,"Harsh environmental conditions / lack of adequate shelter, food, water",Western Africa / Atlantic route to the Canary Islands,"Boat was found drifting about a mile from the Grand Turk Island, Turks and Caicos","Associated Press, CBS News",Caribbean
Split Incident,2021,March,Western Africa (P),Central America,Unknown,5,0,5,0,0,5,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Western Africa / Atlantic route to the Canary Islands,"In the minicipality of Bluefields, in the South Caribbean Coast Autonomous Region","CNN, Kaieteur News, News Room Guyana",Central America
Incident,2021,April,Western Africa (P),South America,Mixed,3,0,3,0,1,2,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Western Africa / Atlantic route to the Canary Islands,"Off the coast of Fortaleza, in the South Atlantic","G1, Opovo, Diário do Nordeste",South America
Incident,2021,December,Western Africa (P),Caribbean,Mixed,7,0,7,0,0,7,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Western Africa / Atlantic route to the Canary Islands,"Boat was found drifting off the coast of Carriacou, Grenada","Loop Caribbean, The New Today Grenada",Caribbean
Incident,2022,January,Northern Africa (P),Mediterranean,Unknown,1,0,1,0,0,0,1,Drowning,Western Mediterranean,"Retrieved from waters one mile off Aftis, El Aouana, Jijel, Algeria",DPC Jijel,Uncategorized
Incident,2022,January,Northern Africa,Mediterranean,Algeria,3,8,11,3,0,0,0,Drowning,Central Mediterranean,"Off Plage Ben Zouit, Kerkera, Skikda, Algeria - boat capsized ~300m after sailing due to collision with rocks","DPC Skkikda, Echorouk Online, Akher Saa",Uncategorized
Incident,2022,January,Southern Africa,Southern Africa,Zimbabwe,3,3,6,2,0,6,0,Drowning,,"Limpopo river, near Maroi, Limpopo province, South Africa",IOM Zimbabwe,Uncategorized
Incident,2022,January,Northern Africa (P),Mediterranean,Unknown,3,14,17,16,1,0,1,Drowning,Western Mediterranean,"Off the coast of Cabo de Gata, Almería, Spain","IOM Spain, El País, ABC",Uncategorized
Incident,2022,January,Southern Asia,Southern Asia,Afghanistan,1,0,1,2,1,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Iran to Türkiye,"Remains found near the village of Belasur, Khoy, Iran - on border with Türkiye","Twitter@tcvanvaliligi (Türkiye-Van Governor's office), Hurriyet, Daily Sabah",Southern Asia
Incident,2022,January,Southern Asia (P),Southern Asia,Unknown,8,0,8,16,0,0,0,Vehicle accident / death linked to hazardous transport,Afghanistan to Iran,"KM60 of Khash-Iranshahr highway, Sistan and Baluchistan, Iran","Islamic Republic News Agency, Young Journalists Club",Southern Asia
Incident,2022,January,Northern Africa (P),Mediterranean,Unknown,1,0,1,0,1,0,0,Drowning,Western Mediterranean,"Retrieved from waters 900 meters off Rocher Plat, Tipaza, Algeria",DPC Tipaza,Uncategorized
Incident,2022,January,Northern Africa (P),Mediterranean,Unknown,1,0,1,0,0,1,0,Drowning,Western Mediterranean,"Remains washed ashore Plage Gounini, Tipaza, Algeria",DPC Tipaza,Uncategorized
Incident,2022,January,Unknown,Europe,Unknown,1,0,1,0,0,0,0,Vehicle accident / death linked to hazardous transport,Western Balkans,"Train tracks in Donji Hadzici, Bosnia and Herzegovina","Sarajevo Canton Ministry of the Interior via IOM BiH, BL Portal",Southern Europe
Incident,2022,January,Caribbean,Central America,Haiti,1,0,1,0,0,1,0,Violence,US-Mexico border crossing,"Chaparral International Bridge,Tijuana,Baja California, Mexico"," Citizens' Committee for the Defense of Naturalized and Afro-Mexicans (CCDNAM),Eje Central, Gobernantes,Reforma",Central America
Incident,2022,January,Caribbean,Central America,Haiti,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,US-Mexico border crossing,"Hotel Migrante, Baja California, Zona Nte., 22000 Tijuana, B.C,Mexico",AFN Tijuana,Central America
Incident,2022,January,Latin America / Caribbean (P),Central America,Unknown,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Rio Grande near La Mision Subdivision, La Mision, Ciudad Acuña, Coahuila, Mexico",Zócalo,Central America
Incident,2022,January,Northern Africa,Europe,Sudan,1,0,1,30,0,1,0,Drowning,English Channel to the UK,"English Channel off the coast of Berck-sur-Mer, France","BBC, Express, MailPlus",Uncategorized
Incident,2022,January,Central America,North America,Mexico,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,US-Mexico border crossing,"Died in USBP custody hours after being apprehended in an industrial area west of the Otay Mesa Port of Entry, San Diego County, California, USA","US Border Patrol, Telemundo, inewsource",Northern America
Incident,2022,January,Southern Asia,Western Asia,Afghanistan,2,0,2,0,1,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Iran to Türkiye,"Near Yamanyurt, Saray, Van province, Türkiye ","Rudaw, Duvar",Western Asia
Incident,2022,January,Mixed,Northern Africa,"Mixed/Unknown,Unknown",3,40,43,10,14,0,3,Drowning,Western Africa / Atlantic route to the Canary Islands,"7 nautical miles off the coast of Tarfaya, Morocco - boat departed from Tan-Tan, Morocco. Location of rescue 28.17529426243148, -12.431666702730718","Caminando Fronteras, Alarm Phone",Northern Africa
Incident,2022,January,Sub-Saharan Africa (P),Northern Africa,Unknown,1,0,1,0,0,1,1,Drowning,Western Africa / Atlantic route to the Canary Islands,"Remains found floating near Playa de La Cueva, near Punta de la Jaqueta, off the coast of Tuineje and Antigua, Fuerteventura, Canary Islands, Spain","Diario de Avisos, Diario de Fuerteventura",Northern Africa
Incident,2022,January,Sub-Saharan Africa (P),Northern Africa,Unknown,1,0,1,0,1,0,1,Drowning,Western Africa / Atlantic route to the Canary Islands,"Remains found floating off the coast of Gran Valle, Antigua, Fuerteventura, Canary Islands, Spain","Onda Fuenteventura, Diario de Fuerteventura",Northern Africa
Incident,2022,January,South America,Central America,Venezuela (Bolivarian Republic of),1,0,1,0,1,0,1,Drowning,US-Mexico border crossing,"Rio Grande near Granjas del Valle, Ciudad Acuña, Coahuila, Mexico",Instituto Nacional de Migración de México,Uncategorized
Incident,2022,January,Sub-Saharan Africa (P),Mediterranean,Unknown,2,0,2,0,0,2,0,Mixed or unknown,Western Mediterranean,"Remains found on Playa de Las Verdas, Benalmádena, Málaga, Spain","Diario Sur, Málaga Hoy, El Pais",Uncategorized
Incident,2022,January,Unknown,Mediterranean,Unknown,1,0,1,0,0,0,0,Drowning,Central Mediterranean,"Remains found near Talmita, Libya",IOM Libya,Uncategorized
Incident,2022,January,Northern Africa (P),Mediterranean,Unknown,1,0,1,9,0,1,0,Drowning,Western Mediterranean,"Off the coast of Carboneras, Almería, Spain","Europa Press, Andalucía Información",Uncategorized
Incident,2022,January,Unknown,Mediterranean,Unknown,,1,1,0,0,0,0,Drowning,Central Mediterranean,Unspecified location between Libya and Italy - went missing after jumping in desperation into the water to avoid interception by the Libyan Coast Guard,"Civil Fleet, MV Louise-Michel rescue ship",Uncategorized
Incident,2022,January,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Near US Border Patrol Eagle Pass South Station, Eagle Pass, Maverick County, Texas, USA","US Border Patrol, K911 Noticias, La Voz, Michelle Rivera Digital",Northern America
Incident,2022,January,South America,South America,Paraguay,1,0,1,0,0,1,0,Violence,,"Río Paraná, Capitán Meza, Itapúa, Paraguay-Argentina border","Hoy Paraguay, La Voz de Misiones, ABC Paraguay",South America
Incident,2022,January,Northern Africa,Mediterranean,Tunisia,4,7,11,21,0,1,1,Drowning,Central Mediterranean,"Off Kerkennah Islands, Tunisia - embarkation from Al-Maharas, Sfax, Tunisia","Garde Nationale, Kapitalis",Uncategorized
Split Incident,2022,January,Middle Africa,Mediterranean,"Cameroon,Ghana",4,0,4,36,0,4,0,Drowning,Central Mediterranean,"Off Al Harsha, Libya",IOM Libya,Uncategorized
Split Incident,2022,January,Southern Asia,Europe,Iran (Islamic Republic of),2,0,2,0,1,1,0,Drowning,,"Drowned while crossing a stream near the village of Lagkadi, Serres, Central Macedonia, Greece","Naftemporiki, Star.gr, Kronos 35 News, IOM Edirne",Southern Europe
Incident,2022,January,South-eastern Asia,South-eastern Asia,Indonesia,6,0,6,5,6,0,0,Drowning,,"4.2 nautical miles off Pontian, Malaysia","Malay Mail, (AFP via) Malaysia Now, Bernama",South-eastern Asia
Incident,2022,January,South-eastern Asia,South-eastern Asia,Indonesia,4,3,7,19,5,0,0,Drowning,,"Off the coast of Teluk Ramunia, Pengerang, Malaysia","The Star, Bernama via New Strait Times, The Malaysian Insight, Bernama (updated) via the Malaysian Reserve",South-eastern Asia
Incident,2022,January,South America,South America,Peru,1,0,1,0,0,1,0,Mixed or unknown,,"Near Colchane Commune, Colchane, Tarapacá Region, Chile","MegaNoticias Chile, Publimetro Chile",South America
Incident,2022,January,South America,Central America,Venezuela (Bolivarian Republic of),1,0,1,0,1,0,1,Drowning,US-Mexico border crossing,"Rio Bravo, near Granjas del Valle, Acuña, Coahuila, Mexico","Instituto Nacional de Migracion Mexico, El Mañana, La Voz, El Nacional Venezuela",Central America
Incident,2022,January,Latin America / Caribbean (P),Central America,Unknown,1,0,1,0,1,0,0,Vehicle accident / death linked to hazardous transport,US-Mexico border crossing,"Colonia Río Bravo, Saltillo, Coahuila, Mexico",GMN Noticias,Central America
Incident,2022,January,Sub-Saharan Africa (P),Mediterranean,Unknown,,9,9,100,0,0,0,Drowning,Central Mediterranean,Unspecified location of the coast of Libya - disembarkation of survivors at Mesfat Alzawyia,IOM Libya,Uncategorized
Incident,2022,January,Sub-Saharan Africa (P),Mediterranean,Unknown,1,0,1,0,0,0,0,Drowning,Central Mediterranean,"Remains washed ashore around Al-Shat Road, Al Hinsher, Tripoli, Libya",IOM Libya,Uncategorized
Incident,2022,January,Southern Asia,North America,India,4,0,4,5,2,2,2,"Harsh environmental conditions / lack of adequate shelter, food, water",,"At the border between Pembinal, North Dakota, USA and Emerson, Manitoba, Canada","External Affairs Minister of India, US Border Patrol, The Guardian",Northern America
Incident,2022,January,Sub-Saharan Africa (P),Mediterranean,Unknown,1,0,1,0,0,0,0,Drowning,Central Mediterranean,"Remains washed ashore near port Elketef, Ben Guerdane, Tunisia",Jawhara FM,Uncategorized
Incident,2022,January,Sub-Saharan Africa (P),Northern Africa,Unknown,2,0,2,103,0,0,0,Drowning,Western Africa / Atlantic route to the Canary Islands,"Unspecified location in the Atlantic on the route from Western Africa to the Canary Islands, Spain","US Navy, Caminandos Frontera",Northern Africa
Incident,2022,January,Southern Asia,Mediterranean,Bangladesh,7,0,7,280,0,7,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Central Mediterranean,"Off the coast of Lampedusa, Italy - departure from Zwara, Libya","IOM Italy, Alarm Phone, Associated Press",Uncategorized
Incident,2022,January,Unknown,Northern Africa,Unknown,,18,18,9,0,0,0,Drowning,Western Africa / Atlantic route to the Canary Islands,"77km south-east of Lanzarote, Spain - departure from Tarfaya, Morocco","Caminando Fronteras, EFE, Radio Television Canaria",Northern Africa
Split Incident,2022,January,Caribbean (P),Caribbean,"Colombia,Dominican Republic,Unknown",5,34,39,1,1,2,0,Drowning,Caribbean to US,"At Fort Pierce Inlet, Florida, USA - departure from Bimini, Bahamas on 22 Jan",US Coast Guard,Uncategorized
Incident,2022,January,Sub-Saharan Africa (P),Mediterranean,Unknown,1,0,1,0,1,0,0,Drowning,Western Mediterranean,"Remains washed ashore at La Malagueta beach, Malaga, Spain ","EFE, Noticias de Navarra, ABCandalucia",Uncategorized
Incident,2022,January,Sub-Saharan Africa (P),Mediterranean,Unknown,1,0,1,0,1,0,0,Drowning,Western Mediterranean,"Remains washed ashore at Burriana beach, Nerja, Spain","EFE, Noticias de Navarra, Canal Sur",Uncategorized
Incident,2022,January,Sub-Saharan Africa (P),Mediterranean,Unknown,1,0,1,0,1,0,0,Drowning,Western Mediterranean,"Remains washed ashore at Cabo Pino beach, east of Marbella, Spain",El Pais,Uncategorized
Incident,2022,January,Mixed,Mediterranean,Mixed/Unknown,6,30,36,34,0,0,0,Drowning,Central Mediterranean,"44 KM Northeast of Zarzis, Tunisia - embarkation from Libya","Tunisian Ministry of Defense, IOM Tunisia",Uncategorized
Incident,2022,January,Sub-Saharan Africa (P),Europe,Unknown,1,0,1,0,1,0,0,Vehicle accident / death linked to hazardous transport,English Channel to the UK,"Remains found at the Calais port rocade, France","La Voix du Nord, France 3",Western Europe
Incident,2022,January,South America,South America,Venezuela (Bolivarian Republic of),1,0,1,0,0,1,0,Violence,,"Trocha Mi Ranchito,Puerto Santander,Norte de Santander,Colombia ",La Opinón,South America
Incident,2022,January,South America,South America,Venezuela (Bolivarian Republic of),1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",,"Pisiga Carpa Wetlands, Colchane Commune, Tarapacá Region Chile","OAS Secretary General's Commissioner for Venezuelan Migrants and Refugees,24 Horas Chile,El Sol de Iquique",South America
Incident,2022,January,Caribbean,Central America,Cuba,2,0,2,6,0,0,0,Vehicle accident / death linked to hazardous transport,,"CA 10 Zacapa Guatemala, Guatemala","Instituto Guatemalteco de Migracion,Periodico Cubano, Catorce y Medio",Central America
Incident,2022,January,Latin America / Caribbean (P),Caribbean,Unknown,,15,15,12,0,0,0,Drowning,Dominican Republic to Puerto Rico,"Near Isabela Beach, Puerto Rico, United States of America","EFE, AFP",Caribbean
Incident,2022,January,Unknown,Mediterranean,Unknown,1,0,1,0,0,0,0,Drowning,Central Mediterranean,"Remains washed ashore in Garabulli (Castelverde), Libya",IOM Libya,Uncategorized
Incident,2022,January,Unknown,Mediterranean,Unknown,1,0,1,0,0,0,0,Drowning,Central Mediterranean,"Remains washed ashore in Garabulli (Castelverde), Libya",IOM Libya,Uncategorized
Split Incident,2022,January,Southern Asia,Mediterranean,Bangladesh,2,26,28,6,0,0,0,Drowning,Central Mediterranean,"Unspecified location off the coast of Libya - disembarkation of survivors at Mesfat Alzawyia, embarkation from Zuwara on 26 Jan at 0100",IOM Libya,Uncategorized
Split Incident,2022,January,Western Asia,Mediterranean,Syrian Arab Republic,,3,3,0,0,0,0,Drowning,Central Mediterranean,"Unspecified location off the coast of Libya - disembarkation of survivors at Mesfat Alzawyia, embarkation from Zuwara on 26 Jan at 0100",IOM Libya,Uncategorized
Incident,2022,January,Unknown,Mediterranean,Unknown,1,0,1,0,1,0,0,Drowning,Central Mediterranean,"Remains washed ashore Qasr Al-Akhyar, Libya",IOM Libya,Uncategorized
Incident,2022,January,Unknown,Mediterranean,Unknown,2,0,2,0,0,2,0,Drowning,Central Mediterranean,"Remains washed ashore at Alzawyia - Jadda'im, Libya",IOM Libya,Uncategorized
Incident,2022,January,Western Asia,Mediterranean,Yemen,1,0,1,2,0,1,0,Drowning,Eastern Mediterranean,"Off the coast of Çeşme, Izmir, Türkiye","Turkish Coast Guard, IOM Türkiye, Daily Sabah",Uncategorized
Incident,2022,January,Eastern Africa,Mediterranean,Eritrea,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,Eastern Mediterranean,"In a hospital in Ayvalık, Balıkesir, Türkiye","Turkish Coast Guard, IOM Türkiye",Western Asia
Incident,2022,January,Unknown,Mediterranean,Unknown,1,0,1,0,0,0,0,Drowning,Central Mediterranean,"Remains washed ashore Al Haniyah, Jebel el-Akhdar, Libya",Migrant Rescue Watch via IOM Libya,Uncategorized
Split Incident,2022,January,Western Africa,Northern Africa,Nigeria,4,0,4,0,1,0,3,"Harsh environmental conditions / lack of adequate shelter, food, water",,"In a plastic shelter in the migrants camp in Gourougou forest Northwest Cimetière Sidi Salem, Nador, Morocco,In Hôpital El Hassani, Nador, Morocco","AMDH, Nador City",Northern Africa
Split Incident,2022,February,Western / Southern Asia (P),Western Asia,"Bangladesh,Somalia,Unknown",19,0,19,3,0,19,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Türkiye-Europe land route,"Bodies found in multiple locations near Paşaköy village, Ipsala district, Edirne, Türkiye","Survivor testimonies, Ipsala Gendarmerie and Provincial Presidency for Migration Management, Turkish Minister of the Interior via Twitter, T.C.  EDİRNE VALİLİĞİ, IOM Türkiye",Western Asia
Incident,2022,January,South-eastern Asia,South-eastern Asia,Indonesia,4,0,4,14,0,0,0,Drowning,,"Unspecified location off Ketapang Beach, Rupat Island, Indonesia","IOM Indonesia, Detik News, Kumparan News, Suarariau.id, Antarariau, RiauPos.co",South-eastern Asia
Incident,2022,February,Unknown,Northern Africa,Unknown,1,16,17,41,0,0,0,Drowning,Western Africa / Atlantic route to the Canary Islands,"35 km south of Morro Jable, Fuerteventura, Canary Islands, Spain - embarkation on 31 Jan from Cabo Boujdour, Western Sahara","SALVAMENTO MARÍTIMO, 1-1-2 Canarias, EFE, AFP, Diario de Fuerteventura",Northern Africa
Incident,2022,February,Unknown,Europe,Unknown,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,Italy to France,"Train tracks near Latte, Italy near border with France","Infomigrants, AnsaMed",Southern Europe
Incident,2022,February,Sub-Saharan Africa,Mediterranean,Unknown,1,0,1,0,0,1,0,Drowning,Central Mediterranean,"Remains washed ashore near Almaya port, Libya",IOM Libya,Uncategorized
Incident,2022,January,Northern Africa,Europe,Morocco,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Italy to France,"Remains found in mountain pass in the Alps, near Barrage del Freney, near the municipality of Modane, Savoie, Auvergne-Rhône-Alpes, France","Medici per i diritti humani, La Reppublica, La Nazione",Western Europe
Incident,2022,January,Southern Asia,Europe,Afghanistan,1,0,1,0,0,1,1,Vehicle accident / death linked to hazardous transport,Italy to France,"Train tracks between Salbertrand and Oulx, Val di Susa, Piemonte, Italy","Medici per i diritti humani, La Stampa, La Nazione",Southern Europe
Incident,2022,February,South America,Caribbean,Venezuela (Bolivarian Republic of),1,0,1,19,0,1,1,Violence,Venezuela to Caribbean,"Off the south coast of the Amacuro Delta, Trinidad, Trinidad and Tobago in international waters - boat had departed from Delta Amacuro, Venezuela","Trinidad and Tobago Coast Guard, La Jornada, Washington Post",Caribbean
Incident,2022,February,Unknown,Mediterranean,Unknown,2,0,2,7,0,0,0,Drowning,Western Mediterranean,"100M off Plage David, Ben Slimane, Morocco ","Alyaoum24, Assahraa, Le Site Info, Anfa Press",Uncategorized
Incident,2022,January,Southern Africa,Southern Africa,Eswatini,1,0,1,0,0,1,0,Violence,,"Near Ngwenya border post, South Africa - Eswatini border",Times of Swaziland,Southern Africa
Incident,2022,January,South America,South America,Venezuela (Bolivarian Republic of),1,0,1,0,0,1,0,Drowning,,"Embalse Ancoa, Colbún, Maule, Chile","Foco Informativo, Noticias Col",South America
Incident,2022,January,Central America,North America,Honduras,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,US-Mexico border crossing,"Loop 375 West and Mile Marker 59 (Paisano), Central El Paso, El Paso County, Texas, USA","El Paso Police Department, El Heraldo de Juarez, El Albanaque",Northern America
Incident,2022,February,Central America,North America,Mexico,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,US-Mexico border crossing,"Railroad tracks near Uvalde, Uvalde County, Texas, USA","Super Channel 12, K911 Noticias",Northern America
Incident,2022,January,Unknown,Western Asia,Unknown,,2,2,0,0,0,0,Drowning,Türkiye-Europe land route,"Evros-Meric river at Sarıcaali village, İpsala district, Edirne, Türkiye",Saricaali Village Mukhtar via IOM Türkiye,Western Asia
Incident,2022,January,South-eastern Asia,South-eastern Asia,Myanmar,1,0,1,8,0,1,0,Violence,,"Bansainoi-Punoy road, Moo6, Lumsoom subdistrict, Saiyoke district, Kanchanaburi province, Thailand","Thairath Online, Matichon Online, Thaipost, Khaosod Online",South-eastern Asia
Incident,2022,February,Northern Africa (P),Northern Africa,Unknown,,3,3,65,0,0,0,Drowning,Western Africa / Atlantic route to the Canary Islands,"129km south of Gran Canaria, Canary Islands, Spain - boat had departed from Dakhla on 4 February","Radio Televisión Canaria, La Provincia",Northern Africa
Cumulative Incident,2022,January,Latin America / Caribbean (P),North America,Unknown,8,0,8,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Remains recovered around Falfurrias USBP checkpoint, Brooks County, Texas, USA",EXCLUSIVE: Eight Migrants Found Dead in January in Texas County 80 Miles from Border,Northern America
Incident,2022,February,Unknown,Mediterranean,Unknown,1,0,1,0,0,1,0,Drowning,Central Mediterranean,"Remains washed ashore Jadda'im beach 8KM east of Marsa Deela, Libya",LRC via IOM Libya,Uncategorized
Incident,2022,February,Unknown,Mediterranean,Unknown,2,0,2,0,0,2,0,Drowning,Central Mediterranean,"Remains washed ashore at Zuwetina, 150KM West of Benghazi, Libya",IOM Libya,Uncategorized
Incident,2022,February,Unknown,Northern Africa,Unknown,,4,4,53,1,3,0,Drowning,Western Africa / Atlantic route to the Canary Islands,"75 nautical miles south-west of Boujdour, Western Sahara",Alarm Phone,Northern Africa
Incident,2022,January,Southern Asia,Europe,Afghanistan,2,0,2,0,0,2,0,Vehicle accident / death linked to hazardous transport,Western Balkans,"Next to railway track in the village of Tabanovce, Kumanovo, North Macedonia","North Macedonian Sector of Internal Affairs (SIA) Kumanovo, IOM North Macedonia",Southern Europe
Incident,2022,February,Eastern Africa,Mediterranean,Eritrea,1,0,1,0,0,1,0,Drowning,Eastern Mediterranean,"Remains recovered off the coast of Ilıca, Çeşme/İzmir, Türkiye",Turkish Coast Guard via IOM Türkiye,Uncategorized
